"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"MC34063";;;
2;"C1,C4";"CP_Elec_5x5.3";2;"100uF";;;
3;"C2,C5";"C_0805_HandSoldering";2;"Ct";;;
4;"C3,C6";"CP_Elec_5x5.3";2;"Co";;;
5;"C7,C8";"C_0805_HandSoldering";2;"1uF";;;
6;"C9,C10";"CP_Elec_5x5.3";2;"Cfilter";;;
7;"D1,D2";"D_0805";2;"1N5819";;;
8;"D3,D4,D5";"LED_0805_HandSoldering";3;"LED";;;
9;"J1,J3,J5";"Pin_Header_Straight_1x04_Pitch2.54mm";3;"Conn_01x04_Male";;;
10;"J8";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02";;;
11;"J9";"USB_Micro-B";1;"USB_OTG";;;
12;"J10";"USB_A";1;"USB_A";;;
13;"L1,L2";"L_Radial_D9.5mm_P5.00mm_Fastron_07HVP";2;"L";;;
14;"L3,L4";"L_Axial_L12.0mm_D5.0mm_P5.08mm_Vertical_Fastron_MISC";2;"1uH";;;
15;"Q1";"TO-263-2";1;"Q_PMOS_GDS";;;
16;"R1,R8";"R_0805_HandSoldering";2;"R1";;;
17;"R2,R7";"R_0805_HandSoldering";2;"R2";;;
18;"R3,R5";"R_0805_HandSoldering";2;"180";;;
19;"R4,R6";"R_1206_HandSoldering";2;"Rsc";;;
20;"R9,R12,R13";"R_0805_HandSoldering";3;"499";;;
21;"R10,R14";"R_0805_HandSoldering";2;"10K";;;
22;"R11";"R_0805_HandSoldering";1;"ISET";;;
23;"U3";"KeyElco-1043P";1;"KeyElco-1043P";;;
24;"U4";"QFN-16-1EP_3x3mm_Pitch0.5mm_ThermalVias";1;"BQ24230";;;
25;"U5";"SOT-23-5";1;"AP2127K-3.3TRG1";;;
26;"U6";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ATTINY45-20SU";;;
27;"J2,J4,J6";"Socket_Strip_Straight_1x04_Pitch2.54mm";3;"Conn_01x04_Female";;;
28;"J7";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"Conn_01x06";;;
29;"SW1";"SW_SPST_PTS810";1;"SW_Push";;;
30;"SW2";"SW_DIP_x1_W5.08mm_Slide_Copal_CHS-A";1;"SW_DIP_x01";;;
