Id		Package	Quantity	Designation	Supplier and ref	Designator		2017-03-07	Notes
1		LQFP-48_7x7mm_Pitch0.5mm	1	W5500		U4			
2		C_0805_HandSoldering	2	C_Small		C1,C2			Not ordering
3		C_0805_HandSoldering	5	1uF		C3,C4,C5,C6,C11			
4		C_0805_HandSoldering	2	18uF		C7,C8			PICOFARADS Change this in schematic
5		C_0805_HandSoldering	1	0.1uF		C12			
6		microSD-5031821852	1	Micro_SD_Card		CON1			
7		LED_0805	2	LED		D2,D4			Same partno for this board and for the driver board
8		Jumper_SMD	3	Jumper_NO_Small		JP1,JP2,JP3			
9		Socket_Strip_Straight_1x06	1	CONN_01X06		P1			
10		Socket_Strip_Straight_1x02	11	CONN_01X02		P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13			
11		Socket_Strip_Straight_1x08	1	CONN_01X08		P8			
12		8p8c-RB1-125BAG1A	1	CNT-RJ45		P14			
13		R_0805_HandSoldering	1	1M		R1			
14		R_0805_HandSoldering	1	12K4		R2			
15		R_0805_HandSoldering	2	390K		R3,R4			
16		R_0805_HandSoldering	2	499		R5,R6			
17		R_0805_HandSoldering	4	49R9		R7,R8,R9,R10			
18		LQFP-64_10x10mm_Pitch0.5mm	1	STM32F030R8T6		U1			
19		SOT-23-5	2	LD3985M		U2,U3			
20		Crystal_SMD_HC49-SD_HandSoldering	1	Crystal		Y1			
21		Crystal_SMD_HC49-SD_HandSoldering	1	25MHz		Y2			
22		C_0805_HandSoldering	1	4.7uF		C9			
